quote,movie,type,year
Do or do not. There is no try.,Star Wars: Episode V  The Empire Strikes Back,movie,1890
Listen to them. Children of the night. What music they make.,Dracula,movie,1931
Its alive! Its alive!,Frankenstein,movie,1931
Oh no it wasnt the airplanes. It was Beauty killed the Beast.,King Kong,movie,1933
Magic Mirror on the wall who is the fairest one of all?,Snow White and the Seven Dwarves,movie,1937
Elementary my dear Watson.,The Adventures of Sherlock Holmes,movie,1939
Ill get you my pretty and your little dog too!,The Wizard of Oz,movie,1939
After all tomorrow is another day!,Gone With the Wind,movie,1939
Frankly my dear I dont give a damn.,Gone with the Wind,movie,1939
Toto Ive got a feeling were not in Kansas anymore.,The Wizard of Oz,movie,1939
Theres no place like home.,The Wizard of Oz,movie,1939
As God is my witness Ill never be hungry again.,Gone with the Wind,movie,1939
Its gone forever that funny young lost look I loved wont ever come back. I killed that when I told you about Rebecca. Its gone. In a few hours youve grown so much older.,Rebecca,movie,1940
Heres looking at you kid.,Casablanca,movie,1942
Play it Sam. Play As Time Goes By.,Casablanca,movie,1942
Well always have Paris.,Casablanca,movie,1942
Round up the usual suspects.,Casablanca,movie,1942
This is the beginning of a beautiful friendship.,Casablanca,movie,1942
When it comes to women youre a true democrat.,Casablanca,movie,1942
I am big! Its the pictures that got small.,Sunset Blvd.,movie,1950
Nobody ever lies about being lonely.,Here to Eternity,movie,1953
You dont understand! I coulda had class. I coulda been a contender. I couldve been somebody instead of a bum which is what I am.,On The Waterfront,movie,1954
Where were going we dont need roads,Back to the future,movie,1958
Life is a banquet and most poor suckers are starving to death!,Auntie Mame,movie,1958
Well nobody is perfect,Some Like It Hot,movie,1959
My name is Bond James Bond.,Dr. No,movie,1962
Bond. James Bond,Dr. No,movie,1962
I dont understand. He meets a girl that can give him a new life and he pushes her away? Because he doesnt know how to love.,8 1⁄2 ,movie,1963
You expect me to talk? No Mr Bond I expect you to die!,Goldfinger,movie,1964
A martini. Shaken not stirred.,Goldfinger ,movie,1964
Gentlemen you cant fight in here! This is the War Room!,Dr. Strangelove,movie,1964
What weve got here is a failure to communicate.,Cool Hand Luke,movie,1967
They call me Mister Tibbs!,In the Heat of the Night,movie,1967
Mrs. Robinson youre trying to seduce me. Arent you?,The Graduate,movie,1967
You only live twice:Once when you are born And once when you look death in the face,You only live twice,movie,1967
We rob banks.,Bonnie and Clyde,movie,1967
Take your stinking paws off me you damned dirty ape!,Planet of the Apes,movie,1968
Hello gorgeous.,Funny Girl,movie,1968
Love means never having to say youre sorry,Love Story,movie,1970
Public opinion has a way of changing.,A Clockwork Orange,movie,1971
Drop the gun take the cannoli.,The Godfather,movie,1972
A man who doesnt spend time with his family can never be a real man.,The Godfather,movie,1972
Im going to make him an offer he cant refuse.,The Godfather,movie,1972
Great men are not born great they grow great.,The Godfather,movie,1972
Im gonna make him an offer he cant refuse,The Godfather,movie,1972
Father Dyer: My idea of Heaven is a solid white nightclub with me as a headliner for all eternity and they LOVE me!!,The Exorcist,movie,1973
Men you are about to embark on a great crusade to stamp out runaway decency in the west. Now you men will only be risking your lives whilst I will be risking an almost certain Academy Award nomination for Best Supporting Actor.,Blazing Saddles,movie,1974
What did you expect? Welcome sonny? Make yourself at home? Marry my daughter? Youve got to remember that these are just simple farmers. These are people of the land. The common clay of the new West. You know... morons.,Blazing Saddles,movie,1974
Wait Master it might be dangerous... you go first.,Young Frankenstein,movie,1974
Whats a dazzling urbanite like you doing in a rustic setting like this?,Blazing Saddles,movie,1974
Please! Remain in your seats I beg you! We are not children here we are scientists! I assure you there is nothing to fear!,Young Frankenstein,movie,1974
Keep your friends close but your enemies closer.,The Godfather II,movie,1974
Now I dont have to tell you good folks whats been happening in our beloved little town. Sheriff murdered crops burned stores looted people stampeded and cattle raped. The time has come to act and act fast. Im leaving.,Blazing Saddles,movie,1974
Youre gonna need a bigger boat.,Jaws,movie,1975
We are the Knights who say... Ni!,Monty Python and the Holy Grail,movie,1975
Its just a flesh wound.,Monty Python and the Holy Grail,movie,1975
Run Away!,Monty Python and the Holy Grail,movie,1975
Yeah to you its Thanksgiving; to me its Thursday.,Rocky,movie,1976
You talking to me?,Taxi Driver,movie,1976
Yo Adrian!!.,Rocky,movie,1976
Is it safe?,Marathon man,movie,1976
If you strike me down I shall become more powerful than you could possibly imagine.,Star Wars,movie,1977
Itll be just like Beggars Canyon back home,Star Wars,movie,1977
May the Force be with you.,Star Wars,movie,1977
May the force be with you,Star Wars,movie,1977
When I left you I was but the learner. Now I am the master.,Star Wars Episode IV  A New Hope,movie,1977
Thats no moon…its a space station,Star Wars Episode IV  A New Hope,movie,1977
